datetime,A Bus Voltage,A Current,Set Voltage,digital intput
2023-05-19 14:23:59.450342,0.89 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:38.056392,0.82 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:38.072807,0.82 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:38.330830,0.95 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:38.340806,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:38.353726,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:38.378158,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:38.400363,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:38.421509,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:38.442318,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:38.658453,0.87 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:38.668491,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:38.679728,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:38.699758,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:38.718648,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:38.738910,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:38.760282,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:38.986066,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:38.997375,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.014090,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.036458,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.057614,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.086221,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.105366,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.313943,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.324323,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.338025,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.357785,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.381419,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.400447,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.420747,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.641679,0.84 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:39.652635,0.84 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:39.668082,0.84 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:39.685448,0.84 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:39.703884,0.84 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:39.722575,0.84 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:39.741247,0.84 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:39.969406,0.94 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:39.979546,0.94 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:39.995672,0.94 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:40.012818,0.94 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:40.036694,0.94 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:40.054607,0.94 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:40.074365,0.94 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:40.297102,0.86 V,-0.20 mA,0.50,618.65
