datetime,Gas 1,Gas 2,Gas 3
2023-12-20 13:53:27.444488,"55.40,","27.00,","4.00,"
2023-12-20 13:53:38.449855,"55.40,","27.00,","4.00,"
2023-12-20 13:53:49.455174,"55.40,","27.00,","4.00,"
2023-12-20 13:54:00.460525,"55.50,","27.00,","4.00,"
2023-12-20 13:54:11.470013,"55.50,","27.00,","4.00,"
2023-12-20 13:54:22.475336,"55.50,","27.00,","4.00,"
2023-12-20 13:54:33.480726,"55.40,","27.00,","4.00,"
2023-12-20 13:54:44.490252,"55.50,","27.00,","4.00,"
2023-12-20 13:54:55.495638,"55.50,","27.00,","4.00,"
2023-12-20 13:55:06.500969,"55.50,","27.00,","4.00,"
2023-12-20 13:55:17.510405,"55.60,","27.00,","4.00,"
2023-12-20 13:55:28.515776,"55.50,","27.00,","4.00,"
2023-12-20 13:55:39.521109,"55.60,","27.00,","4.00,"
2023-12-20 13:55:50.530654,"55.50,","27.00,","4.00,"
2023-12-20 13:56:01.536107,"55.60,","27.00,","4.00,"
2023-12-20 13:56:12.541317,"55.50,","27.00,","4.00,"
2023-12-20 13:56:23.550891,"55.50,","27.00,","-0.00,"
2023-12-20 13:56:34.556260,"55.60,","27.00,","4.00,"
2023-12-20 13:56:45.561518,"55.50,","27.10,","4.00,"
2023-12-20 13:56:56.566866,"55.40,","27.10,","4.00,"
2023-12-20 13:57:07.576381,"55.40,","27.00,","4.00,"
2023-12-20 13:57:18.581744,"55.50,","27.00,","4.00,"
2023-12-20 13:57:29.587083,"55.40,","27.00,","4.00,"
2023-12-20 13:57:40.597302,"55.50,","27.10,","4.00,"
2023-12-20 13:57:51.602027,"55.50,","27.10,","4.00,"
2023-12-20 13:58:02.607312,"55.60,","27.10,","4.00,"
2023-12-20 13:58:13.616802,"55.60,","27.10,","4.00,"
2023-12-20 13:58:24.622171,"55.60,","27.10,","4.00,"
2023-12-20 13:58:35.627636,"55.60,","27.10,","4.00,"
2023-12-20 13:58:46.637076,"55.60,","27.10,","-0.00,"
2023-12-20 13:58:57.642384,"55.60,","27.10,","4.00,"
2023-12-20 13:59:08.647687,"55.70,","27.10,","4.00,"
2023-12-20 13:59:19.657256,"55.60,","27.10,","4.00,"
2023-12-20 13:59:30.662603,"55.60,","27.10,","4.00,"
2023-12-20 13:59:41.667888,"55.60,","27.10,","4.00,"
2023-12-20 13:59:52.673228,"55.60,","27.10,","4.00,"
2023-12-20 14:00:03.682782,"55.60,","27.10,","4.00,"
2023-12-20 14:00:14.688119,"55.60,","27.10,","4.00,"
2023-12-20 14:00:25.693435,"55.60,","27.10,","4.00,"
2023-12-20 14:00:36.703002,"55.60,","27.10,","4.00,"
2023-12-20 14:00:47.708315,"55.60,","27.00,","4.00,"
2023-12-20 14:00:58.713652,"55.60,","27.10,","4.00,"
2023-12-20 14:01:09.723188,"55.50,","27.00,","4.00,"
2023-12-20 14:01:20.728495,"55.40,","27.00,","4.00,"
2023-12-20 14:01:31.733854,"55.40,","27.00,","4.00,"
2023-12-20 14:01:42.743421,"55.40,","27.00,","4.00,"
2023-12-20 14:01:53.748738,"55.40,","27.00,","4.00,"
